"question","prolific_subject_id","answer","condition","round_of_pilot"
"feelings-about-bot","5dd42e7f35cf744223c60d1b","it was like a normal chatbot, it felt the same though it seemed to give  a lot of information in the questions.","question bot","Round 4 (Modified prompts + combo bot)"
"topicChoice","6650b71e7ab44ddbe28c1db0","mandating vaccines in the U.S.","question bot","Round 3 (Original prompts; conservative only)"
"free-response","6650b71e7ab44ddbe28c1db0","No. I don't want to have this conversation.","question bot","Round 3 (Original prompts; conservative only)"
"convo-effect-on-willingness","6650b71e7ab44ddbe28c1db0","Repeating myself.","question bot","Round 3 (Original prompts; conservative only)"
"new-perspective","6650b71e7ab44ddbe28c1db0","No.","question bot","Round 3 (Original prompts; conservative only)"
"still-contributes","6650b71e7ab44ddbe28c1db0","democracy","question bot","Round 3 (Original prompts; conservative only)"
"feelings-about-bot","6650b71e7ab44ddbe28c1db0","I enjoyed it.","question bot","Round 3 (Original prompts; conservative only)"
"topicChoice","60fdd69df07af0302d9ce2de","same-sex marriage in the U.S.","viewpoint bot","Round 2 (Original prompts)"
"free-response","60fdd69df07af0302d9ce2de","Yes more willing to new ideas","viewpoint bot","Round 2 (Original prompts)"
"convo-effect-on-willingness","60fdd69df07af0302d9ce2de","the chatbot was respectful and provided solid rationales, I would talk to someone who behaved similarly","viewpoint bot","Round 2 (Original prompts)"
"new-perspective","60fdd69df07af0302d9ce2de","Not a new perspective, but rmindend me of the debate on the right to deny providing services ","viewpoint bot","Round 2 (Original prompts)"
"still-contributes","60fdd69df07af0302d9ce2de","How respectful and open they are","viewpoint bot","Round 2 (Original prompts)"
"feelings-about-bot","60fdd69df07af0302d9ce2de","It was a good conversationation, I have no other notes","viewpoint bot","Round 2 (Original prompts)"
"topicChoice","60ddfe929fff846f04cd2c95","the criminal justice system in the U.S.","combination bot","Round 4 (Modified prompts + combo bot)"
"free-response","60ddfe929fff846f04cd2c95","I love having those types of conversations, and would honestly welcome them. I just need the other individual to keep and open mind and talk with me instead of just at me.","combination bot","Round 4 (Modified prompts + combo bot)"
"convo-effect-on-willingness","60ddfe929fff846f04cd2c95","It was very productive we were both making valid points and discussing the points on both ends of the conversation","combination bot","Round 4 (Modified prompts + combo bot)"
"still-contributes","60ddfe929fff846f04cd2c95","I am always willing as long as it is a fair conversation where both sides are heard and no one is looked down upon.","combination bot","Round 4 (Modified prompts + combo bot)"
"feelings-about-bot","60ddfe929fff846f04cd2c95","The chatbot did great. It felt a little automated, but over all was a very nice conversation ","combination bot","Round 4 (Modified prompts + combo bot)"
"new-perspective","60ddfe929fff846f04cd2c95","Not exactly. I saw the points it made and understood them and it understood the points I made. Both sides were valid.","combination bot","Round 4 (Modified prompts + combo bot)"
"topicChoice","6644dfad85c061d1d8bb1953","same-sex marriage in the U.S.","question bot","Round 2 (Original prompts)"
"free-response","6644dfad85c061d1d8bb1953","No difference really. I feel the same as I did before. I did feel \heard\ by the bot and enjoyed sharing my beliefs about something I am passionate about. I also loved that it asked me about the origins of my thinking on this subject because I hadn't made that connection.","question bot","Round 2 (Original prompts)"
"convo-effect-on-willingness","6644dfad85c061d1d8bb1953","It made me feel more empowered to stand up for my views and reminded me how important this issue is ","question bot","Round 2 (Original prompts)"
"new-perspective","6644dfad85c061d1d8bb1953","The bot pressing in on specific relationships and experiences was valuable to me because it reminded me of the value of fighting for freedom, not just standing by since it doesn't directly affect me","question bot","Round 2 (Original prompts)"
"still-contributes","6644dfad85c061d1d8bb1953","I have had heated conversations, debates, arguments in the past about my beliefs of religious freedom and equality for same-sex couples and those can be very ugly. Especially in the South where I was raised and still live, it's a topic that has caused division in my family. I typically choose to avoid conflict because I realize that some people are against it simply because that's how they were taught. I think they are ignorant if they aren't willing to open their minds, but don't necessarily hold it against them either. I don't like to argue, so I'm not going to willingly jump into a discussion where I know someone believes the opposite from me. I'm ok with everyone holding their own beliefs. But if I mature adult is willing to have a debate without hate I am happy to share what I believe all day long without fear.","question bot","Round 2 (Original prompts)"
"feelings-about-bot","6644dfad85c061d1d8bb1953","I loved talking with the bot. One question at a time might have been easier to answer. But it was a great experience!","question bot","Round 2 (Original prompts)"
"topicChoice","5e8fa74118ca6c2b7dab7b7e","same-sex marriage in the U.S.","viewpoint bot","Round 2 (Original prompts)"
"free-response","5e8fa74118ca6c2b7dab7b7e","I am willing.","viewpoint bot","Round 2 (Original prompts)"
"convo-effect-on-willingness","5e8fa74118ca6c2b7dab7b7e","It was productive because it made me think about other views. ","viewpoint bot","Round 2 (Original prompts)"
"new-perspective","5e8fa74118ca6c2b7dab7b7e","Yes it did from the religion point of view, although my view didn't change I still read it.","viewpoint bot","Round 2 (Original prompts)"
"still-contributes","5e8fa74118ca6c2b7dab7b7e","My willingness is because my daughter is a lesbian.","viewpoint bot","Round 2 (Original prompts)"
"feelings-about-bot","5e8fa74118ca6c2b7dab7b7e","I think the chatbot did wonderful by picking the parts to kind of debate and/or give different opinions on.","viewpoint bot","Round 2 (Original prompts)"
"topicChoice","5e2926d80beb030ede110e67","mandating vaccines in the U.S.","counter bot","Round 4 (Modified prompts + combo bot)"
"free-response","5e2926d80beb030ede110e67","Having a \conversation\ with a robot doesn't change my ability or willingness to communicate with humans. I will always speak of the dangers of Covid vaccines simply because I've seen the horrific side effects on literally every single person who has received one. And I can see that they don't prevent anyone from getting the virus. Not at all. ","counter bot","Round 4 (Modified prompts + combo bot)"
"convo-effect-on-willingness","5e2926d80beb030ede110e67","I don't feel that it was a conversation since it was basically just Google results on a screen. I don't view AI as human in any way at all and never will. It wasn't productive. ","counter bot","Round 4 (Modified prompts + combo bot)"
"new-perspective","5e2926d80beb030ede110e67","Not at all.","counter bot","Round 4 (Modified prompts + combo bot)"
"still-contributes","5e2926d80beb030ede110e67","I'll talk to people about the fact that it's wrong to force anyone to inject poison into their body by blackmailing them. It's not right that anyone should lose their job because they're not willing to go along with a radical Left agenda. It's criminal, actually. But we don't care about crime anymore, right...","counter bot","Round 4 (Modified prompts + combo bot)"
"feelings-about-bot","5e2926d80beb030ede110e67","I feel that the bot was way too non-human like. It was like doing a basic google search about vaccines and hearing everything a radical Democrat would say. ","counter bot","Round 4 (Modified prompts + combo bot)"
